File Creation Time UTC,2024-08-16 03:00:27
SW Name,iID®DataCaptureSoftware
SW Version,v01.09
SW BuildDate,2020-04-07
SW StartTime,2024-08-14 14:04:18
Lib Version,v1.6.3
Company,Micro-Sensys GmbH
OS Version,v10.0.17763.865


Settings
,Scan mode,MPC
,,DataGetDelay_Seconds,15

Found Hardware
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas
,0x01,25SQCMICSCB30FA6
,0x14,200558,D0.21,98.26.06,2
,0x15,200566,D0.21,98.26.06,2


Timestamp,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2
2024-08-16 05:43:02.490,14,200558,25SQCMICSBB0407012C00,,DPC,2024-08-16 05:42:47.300,2024-08-16 05:42:47.300,176,Unknown,x,
2024-08-16 05:43:17.568,14,200558,25SQCMICSBB0407012C00,,DPC,2024-08-16 05:43:02.400,2024-08-16 05:43:02.400,211,Departing,x,x
2024-08-16 05:43:32.646,14,200558,25SQCMICSBB0407012C00,,DPC,2024-08-16 05:43:17.500,2024-08-16 05:43:17.500,86,Arriving,x,x
2024-08-16 05:50:05.052,15,200566,25SQCMICSBBE6AE012BF2,,DPC,2024-08-16 05:49:49.900,2024-08-16 05:49:49.900,14,Departing,x,x
2024-08-16 05:50:35.209,15,200566,25SQCMICSBBE6AE012BF2,,DPC,2024-08-16 05:50:20.100,2024-08-16 05:50:20.100,20,Arriving,x,x
2024-08-16 05:59:52.365,14,200558,25SQCMICSBB45C2012C33,,DPC,2024-08-16 05:59:37.200,2024-08-16 05:59:37.200,7,Unknown,x,
2024-08-16 06:00:07.443,14,200558,25SQCMICSBB45C2012C33,,DPC,2024-08-16 05:59:52.300,2024-08-16 05:59:52.300,138,Departing,x,x
2024-08-16 06:00:22.537,14,200558,25SQCMICSBB45C2012C33,,DPC,2024-08-16 06:00:07.400,2024-08-16 06:00:07.400,190,Arriving,x,x
2024-08-16 06:00:37.615,14,200558,25SQCMICSBB45C2012C33,,DPC,2024-08-16 06:00:22.500,2024-08-16 06:00:22.500,54,Departing,x,x
2024-08-16 06:01:07.787,14,200558,25SQCMICSBB45C2012C33,,DPC,2024-08-16 06:00:52.600,2024-08-16 06:00:52.600,104,Arriving,x,x
2024-08-16 06:01:22.865,14,200558,25SQCMICSBB45C2012C33,,DPC,2024-08-16 06:01:07.700,2024-08-16 06:01:07.700,175,Arriving,x,x
2024-08-16 06:01:37.927,14,200558,25SQCMICSBB45C2012C33,,DPC,2024-08-16 06:01:22.800,2024-08-16 06:01:22.800,38,Unknown,x,
2024-08-16 06:01:53.005,14,200558,25SQCMICSBB45C2012C33,,DPC,2024-08-16 06:01:37.900,2024-08-16 06:01:37.900,122,Arriving,x,x
2024-08-16 06:02:08.099,14,200558,25SQCMICSBB45C2012C33,,DPC,2024-08-16 06:01:53.000,2024-08-16 06:01:53.000,59,Arriving,x,x
2024-08-16 06:32:02.005,15,200566,25SQCMICSBB41B9012BDA,,DPC,2024-08-16 06:31:46.900,2024-08-16 06:31:46.900,26,Departing,x,x
2024-08-16 06:36:18.193,15,200566,25SQCMICSBB41B9012BDA,,DPC,2024-08-16 06:36:03.100,2024-08-16 06:36:03.100,27,Arriving,x,x
2024-08-16 06:36:33.302,15,200566,25SQCMICSBB41B9012BDA,,DPC,2024-08-16 06:36:18.200,2024-08-16 06:36:18.200,56,Arriving,x,x
2024-08-16 06:36:48.349,15,200566,25SQCMICSBB41B9012BDA,,DPC,2024-08-16 06:36:33.200,2024-08-16 06:36:33.200,44,Arriving,x,x
2024-08-16 06:37:03.427,15,200566,25SQCMICSBB41B9012BDA,,DPC,2024-08-16 06:36:48.300,2024-08-16 06:36:48.300,8,Departing,x,x
2024-08-16 06:37:18.490,15,200566,25SQCMICSBB41B9012BDA,,DPC,2024-08-16 06:37:03.400,2024-08-16 06:37:03.400,24,Arriving,x,x
2024-08-16 06:37:33.552,15,200566,25SQCMICSBB41B9012BDA,,DPC,2024-08-16 06:37:18.500,2024-08-16 06:37:18.500,46,Departing,x,x
2024-08-16 06:49:21.224,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:49:06.100,2024-08-16 06:49:06.100,190,Departing,x,x
2024-08-16 06:49:36.302,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:49:21.200,2024-08-16 06:49:21.200,269,Departing,x,x
2024-08-16 06:49:51.380,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:49:36.300,2024-08-16 06:49:36.300,115,Arriving,x,x
2024-08-16 06:50:06.443,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:49:51.300,2024-08-16 06:49:51.300,277,Unknown,,x
2024-08-16 06:50:21.537,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:50:06.400,2024-08-16 06:50:06.400,132,Arriving,x,x
2024-08-16 06:50:36.615,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:50:21.500,2024-08-16 06:50:21.500,85,Departing,x,x
2024-08-16 06:50:51.693,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:50:36.600,2024-08-16 06:50:36.600,238,Arriving,x,x
2024-08-16 06:51:06.787,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:50:51.600,2024-08-16 06:50:51.600,115,Arriving,x,x
2024-08-16 06:51:21.896,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:51:06.700,2024-08-16 06:51:06.700,76,Unknown,,x
2024-08-16 06:51:36.974,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:51:21.800,2024-08-16 06:51:21.800,11,Unknown,,x
2024-08-16 06:51:52.084,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:51:36.900,2024-08-16 06:51:36.900,105,Arriving,x,x
2024-08-16 06:52:07.162,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:51:52.000,2024-08-16 06:51:52.000,301,Departing,x,x
2024-08-16 06:52:22.271,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:52:07.100,2024-08-16 06:52:07.100,300,Arriving,x,x
2024-08-16 06:52:37.365,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:52:22.200,2024-08-16 06:52:22.200,191,Unknown,,x
2024-08-16 06:52:52.443,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:52:37.300,2024-08-16 06:52:37.300,12,Unknown,,x
2024-08-16 06:53:07.521,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:52:52.400,2024-08-16 06:52:52.400,55,Arriving,x,x
2024-08-16 06:53:22.599,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:53:07.500,2024-08-16 06:53:07.500,209,Arriving,x,x
2024-08-16 06:54:07.802,14,200558,25SQCMICSBB3A0100F379,,DPC,2024-08-16 06:53:52.700,2024-08-16 06:53:52.700,80,Unknown,,x
2024-08-16 06:58:08.927,14,200558,25SQCMICSBB5FE9012C29,,DPC,2024-08-16 06:57:53.800,2024-08-16 06:57:53.800,18,Unknown,,x
2024-08-16 06:58:23.990,14,200558,25SQCMICSBB5FE9012C29,,DPC,2024-08-16 06:58:08.900,2024-08-16 06:58:08.900,230,Arriving,x,x
2024-08-16 06:58:39.052,14,200558,25SQCMICSBB5FE9012C29,,DPC,2024-08-16 06:58:24.000,2024-08-16 06:58:24.000,276,Unknown,,x
2024-08-16 06:58:54.130,14,200558,25SQCMICSBB5FE9012C29,,DPC,2024-08-16 06:58:39.000,2024-08-16 06:58:39.000,216,Unknown,,x
2024-08-16 06:59:09.209,14,200558,25SQCMICSBB5FE9012C29,,DPC,2024-08-16 06:58:54.100,2024-08-16 06:58:54.100,262,Unknown,,x
2024-08-16 06:59:24.302,14,200558,25SQCMICSBB5FE9012C29,,DPC,2024-08-16 06:59:09.200,2024-08-16 06:59:09.200,223,Unknown,,x
2024-08-16 06:59:39.380,14,200558,25SQCMICSBB5FE9012C29,,DPC,2024-08-16 06:59:24.200,2024-08-16 06:59:24.200,246,Unknown,,x
2024-08-16 06:59:54.474,14,200558,25SQCMICSBB5FE9012C29,,DPC,2024-08-16 06:59:39.300,2024-08-16 06:59:39.300,238,Unknown,,x
